FID,Location,Type,Name_of_Co,Multinatio
56, ,FD,Cloth,N
57, ,FD,Cloth,N
58, ,Craft,Thun Coffee,Y
59, ,Art,Gallary,N
60, ,Art,Gallary,N
61, ,Art,Gallary,N
62, ,FD,Vivienne Westwood,Y
63, ,FD,Cloth,N
64, ,FD,Belsire,Y
65, ,Craft,THUN Shop Milano MiTHUN,Y
66, ,FD,Outlet Matia's,Y
67, ,Arch,Cults Milano Srl,N
68, ,IT,Negozio WindTre,Y
69, ,FD,BallereTTe,N
70, ,FD,Cloth,N
71, ,FD,Cloth,N
72, ,FD,Cloth,N
73, ,IT,Game,N
74, ,FD,Cloth,N
75, ,FD,Salewa Store Milano,Y
76, ,Craft,Perfume,N
77, ,FD,Cloth,N
78, ,Art,Gallary,N
79, ,IT,Vodafone,Y
80, ,FD,Nike,Y
81, ,Art,Gallary,N
82, ,FD,CLoth,N
83, ,FD,Cloth,N
84, ,FD,Cloth,N
85, ,FD,Decathlon Store,Y
86, ,FD,Cloth,N
87, ,IT,Watch,N
88, ,FD,Flying Tiger Copenhagen,Y
89, ,FD,Cloth,N
90, ,Art,Museum,N
91, ,FD,Cloth,N
92, ,FD,Cloth,"N
N"
93, ,FD,Cloth,N
94, ,Craft,Jewel,N
95, ,Art,Gallary,N
96, ,Craft,Jewel,N
97, ,IT,Negozio WindTre,Y
98, ,Art,Gallary,N
99, ,Art,Gallary,N
100, ,Film,Film,N
101, ,IT,Mobile,N
102, ,Craft,Torriani La Bottega Del Carnevale,N
103, ,FD,Carla G. Milano,Y
104, ,FD,Carl Hansen & S?n Flagship Store,N
105, ,FD,Rizieri,N
106, ,Craft,Fabriano Boutique,Y
107, ,FD,Cloth,N
108, ,Craft,Craft,N
109, ,FD,Cloth,N
110, ,Art,Gallary,N
111, ,FD,Golden Goose Milano Cusani,Y
112, ,FD,Cloth,N
113, ,FD,Vintage Delirium,N
114, ,FD,Cloth,N
115, ,FD,Cloth,N
116, ,FD,Cloth,N
117, ,FD,Cloth,N
118, ,Craft,Jewel,N
119, ,Craft,Perfume,N
120, ,Art,Gallary,N
121, ,Craft,Mac,Y
122, ,Craft,Perfume,N
123, ,FD,Cloth,N
124, ,Craft,Jewel,N
125, ,FD,Perfume,Y
126, ,FD,Cloth,N
127, ,IT,Computer,N
128, ,Craft,Jewel,N
129, ,FD,Cloth,N
130, ,FD,Cloth,N
131, ,Art,Museum,N
132, ,FD,Acne Studios Piazza del Carmine,Y
133, ,FD,ASH,Y
134, ,FD,COS,Y
135, ,Craft,Mandarina Duck,Y
136, ,FD,Boutique Pietro Brunelli,Y
137, ,FD,Manebí,Y
138, ,Craft,Jewel,N
139, ,FD,Cloth,N
140, ,FD,Aesop Brera,N
141, ,Art,Gallary,N
142, ,FD,Cloth,N
143, ,FD,Sagester Srl,Y
144, ,Art,Gallary,N
145, ,Craft,Jewel,N
146, ,FD,Musto Milano Srl,Y
147, ,Craft,Watch,Y
148, ,Craft,L'Erbolario,Y
149, ,FD,Cloth,N
150, ,Craft,L'Erbolario,Y
151, ,Art,Gallary,N
152, ,Art,Museum,N
153, ,Art,Gallary,N
154, ,FD,Cloth,N
155, ,Craft,Miasuki,Y
156, ,Craft,TAOCI,N
157, ,FD,Cloth,N
158, ,FD,Cloth,N
159, ,Art,Gallary,N
160, ,FD,Perfume,N
161, ,Craft,Toy,N
162, ,FD,Rick Owens,Y
163, ,FD,Cloth,N
164, ,Craft,Jewel,N
165, ,Art,Gallary,N
166, ,FD,Cloth,N
167, ,Art,Gallary,N
168, ,Art,Gallary,N
169, ,FD,Cloth,N
170, ,FD,Hermès Showroom Maison,Y
171, ,FD,Elisabetta Franchi,Y
172, ,FD,Save my bag,Y
173, ,FD,ottod'Ame Milano,N
174, ,FD,7 for All Mankind Milan,N
175, ,Art,Gallary,N
176, ,FD,Dirk Bikkembergs,Y
177, ,Art,Gallary,N
178, ,FD,Drexcode - Headquarter - Noleggio Moda Online,Y
179, ,FD,Moschino,Y
180, ,FD,Prada Milano Spiga,Y
181, ,FD,Cloth,N
182, ,FD,Cloth,N
183, ,FD,Cloth,N
184, ,Art,Gallary,N
185, ,FD,Porsche Design Italia,Y
186, ,FD,Cloth,N
187, ,FD,Cloth,N
188, ,FD,Cloth,N
189, ,Craft,Craft,N
190, ,FD,Cloth,N
191, ,FD,Cloth,N
192, ,Craft,Craft,N
193, ,Art,Gallary,N
194, ,FD,Dolce & Gabbana,Y
195, ,FD,LONGCHAMP,Y
196, ,FD,Cloth,N
197, ,FD,Michael Kors Milan Spiga,Y
198, ,FD,Cloth,N
199, ,FD,Dsquared2 Flagship Store,Y
200, ,FD,JILSANDER,Y
201, ,Craft,Jewel,N
202, ,Craft,Jewel,N
203, ,FD,Giambattista Valli Paris,Y
204, ,FD,Chanel,Y
205, ,FD,Paciotti,Y
206, ,FD,Stuart Weitzman,Y
207, ,FD,Doriani Cashmere,Y
208, ,Art,Museum,N
209, ,Art,Museum,N
210, ,FD,CAMPER Milan Montenapoleone Store,Y
211, ,FD,Santoni Milan Store,Y
212, ,FD,Ralph Lauren,Y
213, ,FD,Cloth,N
214, ,FD,Cloth,N
215, ,Craft,Jewel,N
216, ,Craft,Furniture,N
217, ,FD,Zanellato Boutique | Milan,Y
218, ,FD,LOUIS VUITTON Milano Monte Napoleone,Y
219, ,FD,Zara,Y
220, ,FD,Woolrich Flagship Store,Y
221, ,FD,Moreschi,Y
222, ,FD,COS,Y
223, ,Craft,PHILIPP PLEIN,Y
224, ,FD,Nero Giardini,Y
225, ,Craft,Jewel,N
226, ,FD,Cloth,N
227, ,FD,Moncler,Y
228, ,FD,Tory Burch,Y
229, ,Craft,Jewel,N
230, ,Craft,Jewel,N
231, ,Craft,Jewel,N
232, ,FD,Boss,Y
233, ,FD,Tiffany & Co,Y
234, ,FD,Cloth,N
235, ,FD,Watch,N
236, ,Craft,Jewel,N
237, ,Craft,Jewel,N
238, ,FD,Cloth,N
239, ,FD,Saint Laurent Via Sant'Andrea Store,Y
240, ,Craft,Miu Miu,Y
241, ,FD,Fay,Y
242, ,Craft,Orciani,N
243, ,FD,Roger Vivier,Y
244, ,FD,Bottega Veneta Milano Maison S. Andrea,Y
245, ,FD,Cloth,N
