unit,facility,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
P_HTHAB,HBEDT,FRM0	764.89 	707.15 	724.77 	729.28 	693.78 	660.84 	617.30 	597.70 	613.92 	610.54 	614.92 	603.09 
P_HTHAB,HBEDT,FRY1	: 	: 	: 	: 	: 	: 	547.76 	550.31 	555.16 	559.85 	485.90 	534.26 
P_HTHAB,HBEDT,FRY2	647.96 	577.76 	643.83 	637.28 	598.22 	586.11 	602.24 	579.77 	586.25 	551.03 	547.41 	534.77 
P_HTHAB,HBEDT,FRY3	418.69 	425.03 	373.97 	365.20 	347.03 	375.39 	372.64 	361.97 	357.51 	338.62 	339.07 	367.00 
P_HTHAB,HBEDT,FRY4	344.99 	347.16 	344.06 	350.97 	351.39 	369.55 	370.95 	381.22 	391.63 	402.87 	396.25 	396.94 
P_HTHAB,HBEDT,FRY5	: 	: 	: 	: 	: 	: 	: 	141.70 	153.01 	147.28 	141.69 	136.76 
P_HTHAB,HBEDT,HR03	518.27 	520.83 	486.83 b	495.58 	530.32 	535.07 	533.10 	541.43 	520.22 	504.16 	500.13 	526.08 
P_HTHAB,HBEDT,HR04	587.17 	583.98 	585.13 b	618.39 	626.94 	615.02 	612.20 	615.01 	574.25 	571.79 	581.07 	579.08 
P_HTHAB,HBEDT,HU10	810.57 b	782.54 	773.50 	769.99 	769.58 	755.49 	750.43 	741.25 	735.10 	730.16 	: 	: 
P_HTHAB,HBEDT,HU11	: 	: 	: 	: 	: 	: 	: 	1046.92 	1039.57 	1036.02 	1032.77 	1025.58 
P_HTHAB,HBEDT,HU12	: 	: 	: 	: 	: 	: 	: 	303.74 	299.92 	297.35 	294.51 	291.65 
P_HTHAB,HBEDT,HU21	681.28 b	678.54 	680.18 	687.90 	687.59 	657.76 	675.31 	661.35 	667.57 	675.74 	685.15 	683.13 
P_HTHAB,HBEDT,HU22	710.26 b	709.47 	708.42 	708.06 	712.55 	715.65 	721.19 	721.28 	724.54 	720.12 	719.25 	714.40 
P_HTHAB,HBEDT,HU23	715.02 b	726.89 	728.26 	740.35 	751.47 	734.33 	739.58 	740.05 	742.54 	719.18 	723.16 	721.91 
P_HTHAB,HBEDT,HU31	708.97 b	701.40 	719.87 	729.75 	734.95 	708.45 	716.55 	713.33 	717.52 	729.28 	733.00 	740.63 
P_HTHAB,HBEDT,HU32	667.32 b	660.45 	679.82 	683.16 	675.81 	633.15 	636.96 	626.47 	629.81 	642.45 	649.41 	652.89 
P_HTHAB,HBEDT,HU33	627.11 b	633.53 	640.08 	647.43 	651.73 	642.11 	646.31 	652.02 	656.12 	660.87 	665.68 	674.33 
P_HTHAB,HBEDT,IE01	499.46 	468.55 	263.17 b	248.34 	240.20 	236.57 	240.36 	245.27 	246.16 	247.29 	: 	: 
P_HTHAB,HBEDT,IE02	513.42 	491.47 	289.64 b	281.68 	270.34 	260.74 	261.78 	261.84 	258.80 	264.48 	: 	: 
P_HTHAB,HBEDT,IS00	411.79 	390.97 	369.86 	358.44 	329.14 	324.59 	322.15 	316.14 	311.96 	313.32 	306.35 	287.48 
P_HTHAB,HBEDT,ITC1	400.79 	391.76 	396.04 	393.47 	382.67 	371.31 	366.82 	356.09 	356.13 	357.15 	348.16 	348.36 
P_HTHAB,HBEDT,ITC2	331.73 	317.56 	380.15 	378.78 	380.45 	381.98 	397.76 	366.70 	361.46 	359.54 	360.35 	353.36 
P_HTHAB,HBEDT,ITC3	408.53 	380.75 	385.57 	379.80 	336.98 	365.40 	342.72 	341.02 	349.81 	334.85 	335.72 	336.98 
P_HTHAB,HBEDT,ITC4	407.91 	401.24 	401.61 	396.59 	390.19 	378.63 	365.61 	361.26 	358.50 	355.76 	352.95 	345.89 
P_HTHAB,HBEDT,ITF1	427.26 	376.34 	355.57 	357.93 	332.02 	320.06 	327.23 	314.91 	307.51 	312.60 	303.63 	304.10 
P_HTHAB,HBEDT,ITF2	516.65 	470.21 	458.82 	438.50 	396.82 	379.26 	402.19 	328.31 	361.38 	354.07 	332.50 	292.46 
P_HTHAB,HBEDT,ITF3	323.86 	313.60 	304.93 	299.16 	285.70 	273.99 	273.08 	260.87 	262.06 	258.39 	257.30 	256.47 
P_HTHAB,HBEDT,ITF4	371.79 	359.68 	354.06 	353.26 	329.87 	306.39 	296.52 	278.13 	284.55 	282.37 	283.23 	280.71 
P_HTHAB,HBEDT,ITF5	329.92 	314.44 	313.90 	319.00 	321.37 	317.74 	302.62 	297.66 	299.05 	299.63 	295.56 	281.60 
P_HTHAB,HBEDT,ITF6	383.49 	342.12 	328.01 	321.90 	307.60 	274.47 	244.70 	217.43 	210.28 	222.68 	249.94 	245.81 
P_HTHAB,HBEDT,ITG1	327.86 	312.91 	295.15 	302.61 	292.30 	287.13 	281.65 	273.90 	271.88 	268.94 	271.97 	274.42 
P_HTHAB,HBEDT,ITG2	400.99 	398.13 	396.84 	373.37 	374.38 	344.39 	333.33 	309.45 	314.02 	311.72 	301.21 	309.21 
P_HTHAB,HBEDT,ITH1	426.56 	427.79 	415.76 	407.55 	395.02 	392.77 	386.41 	379.41 	369.25 	380.04 	368.44 	388.32 
