"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,ES620"	5.79	5.86	: 	7.22	5.9	5.75	5.04	: 	: 	: 
"V97120,R_S,ES63"	8.16	8.83	: 	5.14	6.35	8.76	2.44	: 	: 	: 
"V97120,R_S,ES630"	8.16	8.83	: 	5.14	6.35	8.76	2.44	: 	: 	: 
"V97120,R_S,ES64"	4.38	5.55	: 	8.93	6.73	7.39	6.2	: 	: 	: 
"V97120,R_S,ES640"	4.38	5.55	: 	8.93	6.73	7.39	6.2	: 	: 	: 
"V97120,R_S,ES7"	5.54	6.84	: 	6.55	6.49	5.63	6.53	: 	: 	: 
"V97120,R_S,ES70"	5.54	6.84	: 	6.55	6.49	5.63	6.53	: 	: 	: 
"V97120,R_S,ES703"	9.76	7.78	: 	: c	: c	: c	7.61	: 	: 	: 
"V97120,R_S,ES704"	6.87	10.35	: 	6.42	9.49	8.49	8.72	: 	: 	: 
"V97120,R_S,ES705"	4.74	6.31	: 	5.91	5.49	5.48	5.27	: 	: 	: 
"V97120,R_S,ES706"	4.05	5.77	: 	: c	9.64	6.32	4.46	: 	: 	: 
"V97120,R_S,ES707"	6.71	5.55	: 	8.94	: c	: c	7.49	: 	: 	: 
"V97120,R_S,ES708"	7.4	7.99	: 	4.84	6.4	4.66	9.4	: 	: 	: 
"V97120,R_S,ES709"	5.7	6.67	: 	7.4	7.08	5.59	7.07	: 	: 	: 
"V97120,R_S,FI"	5.58	4.74	4.39	5.06	4.02	6.12	6.53	: 	: 	: 
"V97120,R_S,FI1"	5.59	4.74	4.37	5.04	4.01	6.11	6.53	: 	: 	: 
"V97120,R_S,FI19"	5.99	4.73	3.91	4.71	4.11	6.07	6.86	: 	: 	: 
"V97120,R_S,FI193"	6.82	6.09	4.54	4.48	4.71	5.74	7.07	: 	: 	: 
"V97120,R_S,FI194"	5.97	3.82	2.47	4.64	4.04	4.42	5.74	: 	: 	: 
"V97120,R_S,FI195"	7.13	5.68	5.61	6.69	5.35	7.22	7.52	: 	: 	: 
"V97120,R_S,FI196"	5.72	4.56	3.9	4.57	2.42	5.09	6.45	: 	: 	: 
"V97120,R_S,FI197"	5.41	4.29	3.69	4.35	4.17	6.85	7.1	: 	: 	: 
"V97120,R_S,FI1B"	5.49	4.95	4.62	5.2	3.97	6.35	6.61	: 	: 	: 
"V97120,R_S,FI1B1"	5.49	4.95	4.62	5.2	3.97	6.35	6.61	: 	: 	: 
"V97120,R_S,FI1C"	5.86	5.07	4.37	5.27	4.31	6.32	7.36	: 	: 	: 
"V97120,R_S,FI1C1"	5.87	4.95	4.85	5.17	4.95	7.19	8.83	: 	: 	: 
"V97120,R_S,FI1C2"	5.83	5.78	3.89	5.99	3.53	6.17	6.4	: 	: 	: 
"V97120,R_S,FI1C3"	5.68	4.88	4.11	5.18	4.45	5.74	6.47	: 	: 	: 
"V97120,R_S,FI1C4"	6.64	5.47	3.97	5.22	3.58	4.96	6.61	: 	: 	: 
"V97120,R_S,FI1C5"	5.13	4.14	4.04	4.81	3.29	5.38	4.48	: 	: 	: 
"V97120,R_S,FI1D"	5.05	4.03	4.44	4.91	3.69	5.47	5.17	: 	: 	: 
"V97120,R_S,FI1D1"	5.16	3.68	4.16	5.05	3.64	6.28	4.25	: 	: 	: 
"V97120,R_S,FI1D2"	4.41	3.41	4.31	4.46	2.32	4.67	4.22	: 	: 	: 
"V97120,R_S,FI1D3"	5	4.53	4.81	4.98	3.78	4.71	4.82	: 	: 	: 
"V97120,R_S,FI1D4"	: 	: 	4.05	4.33	3.62	5.55	5.42	: 	: 	: 
"V97120,R_S,FI1D5"	6.54	3.21	5.68	9.7	4.12	8.37	7.04	: 	: 	: 
"V97120,R_S,FI1D6"	: 	: 	5.22	4.84	4.56	5.83	6.23	: 	: 	: 
"V97120,R_S,FI1D7"	4.17	3.83	3.56	4.19	3.83	4.96	5.06	: 	: 	: 
"V97120,R_S,FI1D8"	3.96	5.7	4.14	4.11	3.36	: 	: 	: 	: 	: 
"V97120,R_S,FI1D9"	5.97	4.42	4.87	4.88	4.72	: 	: 	: 	: 	: 
"V97120,R_S,FI2"	4.69	4.55	5.03	4.41	2.38	3.9	4.6	: 	: 	: 
"V97120,R_S,FI20"	4.69	4.55	5.03	4.41	2.38	3.9	4.6	: 	: 	: 
"V97120,R_S,FI200"	4.69	4.55	5.03	4.41	2.38	3.9	4.6	: 	: 	: 
"V97120,R_S,FIZ"	5.73	5.16	7.18	8.73	8.41	16.21	12.33	: 	: 	: 
"V97120,R_S,FIZZ"	5.73	5.16	7.18	8.73	8.41	16.21	12.33	: 	: 	: 
"V97120,R_S,FIZZZ"	5.73	5.16	7.18	8.73	8.41	16.21	12.33	: 	: 	: 
"V97120,R_S,FR"	6	5.93	5.93	6.64	6.09	6.29	6.74	: 	: 	: 
"V97120,R_S,FR1"	5	4.98	4.85	5.39	5.21	5.06	5.25	: 	: 	: 
"V97120,R_S,FR10"	5	4.98	4.85	5.39	5.21	5.06	5.25	: 	: 	: 
"V97120,R_S,FR101"	4	4.21	4.12	4.5	4.11	4	4	: 	: 	: 
"V97120,R_S,FR102"	3	3.55	3.69	4.31	3.92	4.42	4.14	: 	: 	: 
"V97120,R_S,FR103"	6	6.17	5.55	6.76	7.36	6.67	6.93	: 	: 	: 
