"sectperf,unit,geo\time"	2018	2017		ITI4
"BES,EUR_HAB,MK00"	5.8	4.5		
"BES,EUR_HAB,MT"	98.8	93.6		
"BES,EUR_HAB,MT0"	98.8	93.6		
"BES,EUR_HAB,MT00"	98.8	93.6		
"BES,EUR_HAB,NL"	640.1	624.5		
"BES,EUR_HAB,NL1"	: c	: c		
"BES,EUR_HAB,NL11"	: c	: c		
"BES,EUR_HAB,NL12"	: c	: c		
"BES,EUR_HAB,NL13"	: c	: c		
"BES,EUR_HAB,NL2"	: c	: c		
"BES,EUR_HAB,NL21"	: c	: c		
"BES,EUR_HAB,NL22"	: c	: c		
"BES,EUR_HAB,NL23"	: c	: c		
"BES,EUR_HAB,NL3"	: c	: c		
"BES,EUR_HAB,NL31"	: c	: c		
"BES,EUR_HAB,NL32"	: c	: c		
"BES,EUR_HAB,NL33"	: c	: c		
"BES,EUR_HAB,NL34"	: c	: c		
"BES,EUR_HAB,NL4"	: c	: c		
"BES,EUR_HAB,NL41"	: c	: c		
"BES,EUR_HAB,NL42"	: c	: c		
"BES,EUR_HAB,NO"	737.7	742		
"BES,EUR_HAB,NO0"	737.7	742		
"BES,EUR_HAB,NO01"	1164.1	1199.2		
"BES,EUR_HAB,NO02"	231.7	229.1		
"BES,EUR_HAB,NO03"	590.3	568.9		
"BES,EUR_HAB,NO04"	573.4	573.2		
"BES,EUR_HAB,NO05"	576.7	537.1		
"BES,EUR_HAB,NO06"	1332	1440.4		
"BES,EUR_HAB,NO07"	313.8	299.3		
"BES,EUR_HAB,PL"	104.7	82.1		
"BES,EUR_HAB,PL1"	: 	: 		
"BES,EUR_HAB,PL11"	: 	: 		
"BES,EUR_HAB,PL12"	: 	: 		
"BES,EUR_HAB,PL2"	111.5	86.3		
"BES,EUR_HAB,PL21"	170.1	131.8		
"BES,EUR_HAB,PL22"	67.9	52.5		
"BES,EUR_HAB,PL3"	: 	: 		
"BES,EUR_HAB,PL31"	: 	: 		
"BES,EUR_HAB,PL32"	: 	: 		
"BES,EUR_HAB,PL33"	: 	: 		
"BES,EUR_HAB,PL34"	: 	: 		
"BES,EUR_HAB,PL4"	43.5	35.7		
"BES,EUR_HAB,PL41"	53.3	44		
"BES,EUR_HAB,PL42"	25.7	22.6		
"BES,EUR_HAB,PL43"	39.8	29.1		
"BES,EUR_HAB,PL5"	86.3	66.2		
"BES,EUR_HAB,PL51"	98.1	78.2		
"BES,EUR_HAB,PL52"	50.6	30.1		
"BES,EUR_HAB,PL6"	75.8	53.2		
"BES,EUR_HAB,PL61"	45.1	33		
"BES,EUR_HAB,PL62"	21.6	21.9		
"BES,EUR_HAB,PL63"	136.5	90.7		
"BES,EUR_HAB,PL7"	51.4	34.8		
"BES,EUR_HAB,PL71"	58.3	41.8		
"BES,EUR_HAB,PL72"	37.6	20.8		
"BES,EUR_HAB,PL8"	51.8	41.2		
"BES,EUR_HAB,PL81"	32	21.4		
"BES,EUR_HAB,PL82"	85.7	75.2		
"BES,EUR_HAB,PL84"	26.9	15.9		
"BES,EUR_HAB,PL9"	298.9	245.7		
"BES,EUR_HAB,PL91"	498.5	416.3		
"BES,EUR_HAB,PL92"	40.3	26.9		
"BES,EUR_HAB,PT"	138.4	126.4		
"BES,EUR_HAB,PT1"	144.7	132.2		
"BES,EUR_HAB,PT11"	140.1	129.6		
"BES,EUR_HAB,PT15"	12.3	11		
"BES,EUR_HAB,PT16"	117.1	114.4		
"BES,EUR_HAB,PT17"	211.1	188.5		
"BES,EUR_HAB,PT18"	71.3	54.6		
"BES,EUR_HAB,PT2"	7.7	6.7		
"BES,EUR_HAB,PT20"	7.7	6.7		
"BES,EUR_HAB,PT3"	24	17.9		
"BES,EUR_HAB,PT30"	24	17.9		
"BES,EUR_HAB,RO"	31.1	27.3		
"BES,EUR_HAB,RO1"	16.4	13.6		
"BES,EUR_HAB,RO11"	6.4	7.4		
