unit,isced11,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,F,HUZZ	0 	0 	0 	0 	0 	0 	0 
NR,ED5,F,IE	: 	10103 d	10347 	8664 	8923 	9494 	17262 
NR,ED5,F,IE0	: 	10103 d	10347 	8664 	8923 	9494 	17262 
NR,ED5,F,IE04	: 	1549 d	: 	: 	: 	: 	: 
NR,ED5,F,IE05	: 	3403 d	: 	: 	: 	: 	: 
NR,ED5,F,IE06	: 	5151 d	: 	: 	: 	: 	: 
NR,ED5,F,IEZ	: 	: d	0 	0 	0 	0 	0 
NR,ED5,F,IEZZ	: 	: d	0 	0 	0 	0 	0 
NR,ED5,F,IS	: 	270 	: 	: 	: 	271 	: 
NR,ED5,F,IS0	: 	270 	: 	: 	: 	271 	: 
NR,ED5,F,IS00	: 	270 	: 	: 	: 	271 	: 
NR,ED5,F,IT	: 	3652 	2982 	2176 	1637 	1216 	590 
NR,ED5,F,ITC	: 	1211 	974 	709 	453 	324 	149 
NR,ED5,F,ITC1	: 	259 	164 	105 	79 	74 	18 
NR,ED5,F,ITC2	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,ITC3	: 	92 	53 	45 	34 	28 	16 
NR,ED5,F,ITC4	: 	860 	757 	559 	340 	222 	115 
NR,ED5,F,ITF	: 	448 	315 	182 	163 	147 	69 
NR,ED5,F,ITF1	: 	112 	85 	34 	64 	38 	14 
NR,ED5,F,ITF2	: 	27 	20 	9 	5 	7 	5 
NR,ED5,F,ITF3	: 	38 	55 	64 	33 	42 	14 
NR,ED5,F,ITF4	: 	198 	79 	25 	28 	41 	36 
NR,ED5,F,ITF5	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,ITF6	: 	73 	76 	50 	33 	19 	0 
NR,ED5,F,ITG	: 	258 	184 	167 	111 	92 	61 
NR,ED5,F,ITG1	: 	202 	147 	149 	100 	86 	60 
NR,ED5,F,ITG2	: 	56 	37 	18 	11 	6 	1 
NR,ED5,F,ITH	: 	853 	755 	616 	544 	375 	165 
NR,ED5,F,ITH1	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,ITH2	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,ITH3	: 	512 	449 	372 	341 	210 	106 
NR,ED5,F,ITH4	: 	59 	50 	23 	13 	4 	3 
NR,ED5,F,ITH5	: 	282 	256 	221 	190 	161 	56 
NR,ED5,F,ITI	: 	882 	754 	502 	366 	278 	146 
NR,ED5,F,ITI1	: 	378 	297 	106 	57 	41 	10 
NR,ED5,F,ITI2	: 	67 	60 	49 	20 	2 	1 
NR,ED5,F,ITI3	: 	182 	153 	125 	61 	70 	36 
NR,ED5,F,ITI4	: 	255 	244 	222 	228 	165 	99 
NR,ED5,F,ITZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,ITZZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,LI	: 	0 	: z	: z	: z	: z	: 
NR,ED5,F,LI0	: 	0 	: z	: z	: z	: z	: 
NR,ED5,F,LI00	: 	0 	: z	: z	: z	: z	: 
NR,ED5,F,LT	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,LT0	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,LT00	: 	: 	: z	: z	: z	: z	: z
NR,ED5,F,LT01	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,LT02	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,LTZ	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,LTZZ	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,LU	: 	435 	427 	355 	319 	340 	201 
NR,ED5,F,LU0	: 	435 	427 	355 	319 	340 	201 
NR,ED5,F,LU00	: 	435 	427 	355 	319 	340 	201 
NR,ED5,F,LV	: 	8926 	8463 	9058 	9688 	10032 	10343 
NR,ED5,F,LV0	: 	8926 	8463 	9058 	9688 	10032 	10343 
NR,ED5,F,LV00	: 	8926 	8463 	9058 	9688 	10032 	10343 
NR,ED5,F,ME	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,ME0	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,ME00	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,MK	: 	: z	: 	: z	: z	: z	: z
NR,ED5,F,MK0	: 	: z	: 	: z	: z	: z	: z
NR,ED5,F,MK00	: 	: z	: 	: z	: z	: z	: z
NR,ED5,F,MT	: 	1409 	1127 	1180 	1408 	1085 	1329 
NR,ED5,F,MT0	: 	1409 	1127 	1180 	1408 	1085 	1329 
NR,ED5,F,MT00	: 	1409 	1127 	1180 	1408 	1085 	1329 
NR,ED5,F,NL	: 	13677 	13021 	11496 	10604 	2850 	2316 
NR,ED5,F,NL1	: 	1124 	979 	1054 	1075 	444 	352 
NR,ED5,F,NL11	: 	159 	338 	128 	171 	109 	88 
NR,ED5,F,NL12	: 	691 	375 	443 	501 	217 	187 
NR,ED5,F,NL13	: 	274 	267 	484 	403 	118 	77 
NR,ED5,F,NL2	: 	2404 	2798 	2093 	2297 	422 	395 
NR,ED5,F,NL21	: 	785 	551 	424 	582 	160 	145 
NR,ED5,F,NL22	: 	1381 	1847 	1000 	1429 	205 	202 
NR,ED5,F,NL23	: 	238 	400 	669 	286 	57 	48 
NR,ED5,F,NL3	: 	7336 	7075 	6330 	4511 	1436 	1031 
NR,ED5,F,NL31	: 	1005 	1098 	925 	745 	161 	138 
NR,ED5,F,NL32	: 	1967 	1776 	1745 	1140 	233 	201 
NR,ED5,F,NL33	: 	4056 	4042 	3375 	2340 	999 	663 
NR,ED5,F,NL34	: 	308 	158 	285 	286 	43 	29 
NR,ED5,F,NL4	: 	2799 	2156 	2011 	2710 	534 	528 
NR,ED5,F,NL41	: 	2250 	1749 	1451 	2248 	456 	452 
NR,ED5,F,NL42	: 	549 	407 	560 	462 	78 	76 
NR,ED5,F,NLZ	: 	14 e	13 	9 	11 	14 	10 
NR,ED5,F,NLZZ	: 	14 e	13 	9 	11 	14 	10 
