"prof_pos,sex,sectperf,unit,geo\time"	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980
"TOTAL,T,TOTAL,PC_EMP_HC,ITG1"	1.1961	1.1141	1.0722 b	1.1209	1.1577	1.143	1.0499	1.0374	1.0561	1.076	1.1068	1.0855	: 	1.0824	1.008	0.981	: 	: 	0.7206	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITG2"	1.0263	1.1103	1.113 b	1.2118	1.1149	1.1497	1.0591	1.0361	0.8925	0.8904	0.8953	0.8475	: 	0.8713	0.8081	0.9039	: 	: 	0.7478	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITH"	2.8772	2.6971	2.4129 b	2.1033	1.9912	2.01	1.9045	1.794	1.7951	1.842	1.7981	1.6272	: 	1.184	1.0809	1.0381	: 	: 	0.8611	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITH1"	1.3717	1.2987	1.1831 b	0.9873	0.915 e	0.9794	0.8839	0.9035	0.8702	0.8979	0.8097	0.8929	: 	0.4066	0.5185	0.4509	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITH2"	2.8513	2.7798	2.5809 b	2.7617	2.652	2.62	2.527	2.3063	2.1099	2.4453	2.402	1.7078	: 	1.3801	1.3582	1.3232	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITH3"	2.671	2.4104	2.1548 b	1.7861	1.6859	1.7359	1.6709	1.61	1.6333	1.7283	1.7406	1.4131	: 	0.8316	0.7464	0.7403	: 	: 	0.6009	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITH4"	2.5209	2.4599	2.215 b	2.0359	1.9962	1.9499	2.0108	1.8925	1.866	2.0813	2.0025	1.7948	: 	1.6129	1.4859	1.3339	: 	: 	1.1677	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITH5"	3.3839	3.2362	2.873 b	2.5225	2.3766	2.3779	2.1864	2.0175	2.031	1.9467	1.855	1.8932	: 	1.5284	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITI"	2.3588	2.1945	: c	: c	1.7641	1.804	1.7495	1.6627	1.6992	1.7482	1.7112	1.7479	: 	1.6083	1.4568	1.4754	: 	: 	1.2642	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITI1"	2.3943	2.1445	1.9001 b	1.7524	1.6873	1.6988	1.6139	1.4811	1.3955	1.4549	1.4341	1.4263	: 	1.2801	1.169	1.1307	: 	: 	0.9297	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITI2"	2.0259	1.8726	: c	: c	1.5176	1.4413	1.3471	1.3117	1.3659	1.3092	1.3361	1.3596	: 	1.2685	1.1353	1.1762	: 	: 	0.9836	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITI3"	2.1468	2.1564	1.753 b	1.4195	1.4172	1.3367	1.3047	1.2139	1.2007	1.2018	1.2503	1.2659	: 	0.77	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ITI4"	2.4415	2.2857	2.2107 b	2.0173	1.9467	2.0627	2.0355	1.9764	2.1117	2.1905	2.1095	2.1901	: 	2.154	1.9449	1.9921	: 	: 	1.7181	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,KR"	: 	: 	: 	: 	: 	2.2713	2.2795	2.1908	2.0988	1.986	1.8502	1.799 b	1.58 d	1.4676 d	1.3845 d	1.3418 d	1.2621 d	1.2136 d	1.1213 d	1.0473 d	0.9991 d	0.9999 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LT"	1.8573	1.8203	1.6961	1.6709	1.8998	1.7999	1.7768	1.8263	1.5452	1.4328	1.3313	1.2987	1.1658	1.1544	1.1732	1.0322	0.9819	1.1263	1.0651	1.0637	1.0644	1.0565	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LT0"	1.8573	1.8203	1.6961	1.6709	1.8998	1.7999	1.7768	1.8263	1.5452	1.4328	1.3313	1.2987	1.1658	1.1544	1.1732	1.0322	0.9819	1.1263	1.0651	1.0637	1.0644	1.0565	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LT00"	: 	: 	: 	: 	1.8998	1.7999	1.7768	1.8263	1.5452	1.4328	1.3313	1.2987	1.1658	1.1544	1.1732	1.0322	0.9819	1.1263	1.0651	1.0637	1.0644	1.0565	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LT01"	2.8761	2.8729	2.8229	3.0103	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LT02"	1.2729	1.2358	1.1213	1.0434	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LU"	: 	2.5392	: 	2.5614	1.0914	2.4322	: 	2.7342	: 	2.674	: 	2.7345 e	: 	2.5984	: 	2.2231	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LU0"	: 	2.5392	: 	2.5614	1.0914	2.4322	: 	2.7342	: 	2.674	: 	2.7345 e	: 	2.5984	: 	2.2231	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LU00"	: 	2.5392	: 	2.5614	1.0914	2.4322	: 	2.7342	: 	2.674	: 	2.7345 e	: 	2.5984	: 	2.2231	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LV"	1.3893	1.3101	1.2794	1.2999	1.2889	1.191	1.2664	1.2019	1.1066	1.0439	1.0593	1.0902	1.0822	1.0072	0.8839	0.8531	0.9842	0.9216	0.8954	0.6651	0.6368	0.6265	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LV0"	1.3893	1.3101	1.2794	1.2999	1.2889	1.191	1.2664	1.2019	1.1066	1.0439	1.0593	1.0902	1.0822	1.0072	0.8839	0.8531	0.9842	0.9216	0.8954	0.6651	0.6368	0.6265	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,LV00"	1.3893	1.3101	1.2794	1.2999	1.2889	1.191	1.2664	1.2019	1.1066	1.0439	1.0593	1.0902	1.0822	1.0072	0.8839	0.8531	0.9842	0.9216	0.8954	0.6651	0.6368	0.6265	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ME"	1.0312	0.9973	1.0018	1.0857 d	1.0981	1.115	: 	1.1057	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ME0"	1.0312	0.9973	1.0018	1.0857 d	1.0981	1.115	: 	1.1057	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ME00"	1.0312	0.9973	1.0018	1.0857 d	1.0981	1.115	: 	1.1057	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,MK"	0.5489	0.5544	0.6123	0.6149	: 	: 	0.4313	0.3485	0.4198	0.3873	0.4561	0.5063	0.522	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,MK0"	0.5489	0.5544	0.6123	0.6149	: 	: 	0.4313	0.3485	0.4198	0.3873	0.4561	0.5063	0.522	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,MK00"	0.5489	0.5544	0.6123	0.6149	: 	: 	0.4313	0.3485	0.4198	0.3873	0.4561	0.5063	0.522	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,MT"	1.0692	1.1424	1.1746	1.2242	1.2358	1.2458	1.3532	1.3006	1.1294	0.9918	1.0696	1	1.0533	1.0081	0.9041 b	0.6633	0.7626	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,MT0"	1.0692	1.1424	1.1746	1.2242	1.2358	1.2458	1.3532	1.3006	1.1294	0.9918	1.0696	1	1.0533	1.0081	0.9041 b	0.6633	0.7626	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,MT00"	1.0692	1.1424	1.1746	1.2242	1.2358	1.2458	1.3532	1.3006	1.1294	0.9918	1.0696	1	1.0533	1.0081	0.9041 b	0.6633	0.7626	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL"	2.54	2.5011	2.5231	2.4954	2.4283	2.4078 b	2.264 b	2.1112 b	1.5611	1.28	1.4242	1.4115	1.5505	1.5141	1.5323	1.393 b	1.4125	1.4254	1.4672	1.5134	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL1"	1.6254	1.6537	1.7627	1.7043	1.7128	1.5844 b	1.4121	1.4082	: 	0.7805 e	: 	0.7705 e	: 	0.866 e	: 	0.9078 e	0.7666 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL11"	: c	: c	: c	: c	: c	: c	2.25	2.1612	: 	1.6479 e	: 	1.4656 e	: 	1.7837 e	: 	1.8342 e	1.506 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL12"	: c	: c	: c	: c	: c	: c	1.0225	0.8976	: 	0.3991 e	: 	0.3823 e	: 	0.4292 e	: 	0.4633 e	0.4024 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL13"	: c	: c	: c	: c	: c	: c	0.9226	1.1794	: 	0.2879 e	: 	0.4639 e	: 	0.3712 e	: 	0.4059 e	0.3525 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL2"	2.2398	2.2909	2.3209	2.3307	2.2111	2.2097 b	2.2201	2.1558	: 	1.1902 e	: 	1.2126 e	: 	1.3618 e	: 	1.3149 e	1.3597 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL21"	: c	: c	: c	: c	: c	: c	2.1203	2.2754	: 	1.1796 e	: 	1.1456 e	: 	1.0701 e	: 	1.1954 e	1.3037 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL22"	: c	: c	: c	: c	: c	: c	2.3521	2.1578	: 	1.2641 e	: 	1.2821 e	: 	1.5946 e	: 	1.4649 e	1.4372 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL23"	: c	: c	: c	: c	: c	: c	1.8354	1.8067	: 	0.8535 e	: 	1.0448 e	: 	0.9989 e	: 	0.8458 e	1.0877 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL3"	2.5845	2.484	2.526	2.4658	2.3949	2.4427 b	2.2448	2.1333	: 	1.3117 e	: 	1.4758 e	: 	1.548 e	: 	1.4716 e	1.3804 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL31"	: c	: c	: c	: c	: c	: c	2.4907	2.1975	: 	1.6149 e	: 	2.13 e	: 	2.1748 e	: 	1.954 e	1.7125 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL32"	: c	: c	: c	: c	: c	: c	2.5042	2.399	: 	1.3287 e	: 	1.4691 e	: 	1.5038 e	: 	1.5696 e	1.4695 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL33"	: c	: c	: c	: c	: c	: c	2.0762	2.0285	: 	1.2795 e	: 	1.3368 e	: 	1.471 e	: 	1.3205 e	1.2831 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL34"	: c	: c	: c	: c	: c	: c	1.0366	0.9048	: 	0.4349 e	: 	0.585 e	: 	0.4937 e	: 	0.5488 e	0.5579 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL4"	2.8022	2.8158	2.7723	2.7979	2.7562	2.6603 b	2.5253	2.1757	: 	1.4129 e	: 	1.6592 e	: 	1.7922 e	: 	1.4592 e	1.4784 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL41"	: c	: c	: c	: c	: c	: c	2.6699	2.3135	: 	1.547 e	: 	1.8536 e	: 	1.9123 e	: 	1.5199 e	1.6054 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NL42"	: c	: c	: c	: c	: c	: c	2.191	1.8565	: 	1.104 e	: 	1.2143 e	: 	1.5213 e	: 	1.3265 e	1.198 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO"	3.3479	3.3324	3.1703	3.0081	2.8359	2.7065	2.6371	2.6308	2.6265	2.6314	2.5501	2.4814	: 	2.3997	: 	2.2847	2.2595	2.1674	: 	1.9832	: 	2.0569	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO0"	3.2247	3.214	: 	2.8988	2.7392	2.6216	2.5561	2.5524	2.5542	2.5656	2.4925	2.4292	: 	2.3581	: 	2.2374	2.2071	2.1237	: 	1.9457	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO01"	4.7491	4.7402	: 	4.453	4.2616	4.14	4.0856	4.1522	4.2077	4.3791	4.255	4.0996	: 	3.9829	: 	3.8702	: 	3.8199	: 	3.6314	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO02"	1.3053	1.2495	: 	1.1599	1.0591	1.0616	0.9722	1.011	0.9081	0.8599	0.8451	0.8124	: 	0.8388	: 	0.8015	: 	0.8464	: 	2.193	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO03"	1.6635	1.748	: 	1.5885	1.5235	1.4198	1.2909	1.3166	1.2993	1.1929	1.2161	1.2636	: 	1.2719	: 	1.2694	: 	1.1649	: 	0.2456	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO04"	2.1871	2.1808	: 	1.7677	1.6194	1.4838	1.4431	1.3658	1.4221	1.4789	1.4192	1.4129	: 	1.4485	: 	1.3194	: 	1.2095	: 	1.1532	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO05"	3.2336	3.1786	: 	2.7366	2.5854	2.3949	2.3403	2.308	2.3439	2.3378	2.3295	2.2628	: 	2.2386	: 	2.0278	: 	1.8622	: 	1.627	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO06"	5.4657	5.4141	: 	5.0689	4.8754	4.8777	4.9099	4.8633	4.6961	4.5879	4.3208	4.1791	: 	4.3628	: 	4.1527	: 	3.4982	: 	3.6409	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,NO07"	2.9236	2.8797	: 	2.5707	2.3397	2.234	2.1979	2.1649	2.1945	2.1532	2.0167	1.9674	: 	1.7659	: 	1.6604	: 	1.4424	: 	1.2868	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL"	1.6505	1.4882	1.0792	0.9987	0.9844	0.9511	0.9104	0.8787	0.852	0.7737	0.7693	0.811	0.8459	0.8922	0.9432	0.9475	0.913	0.8931	0.8874	0.8692	0.8648	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL1"	: 	: 	: 	1.3189	1.3169	1.3292	1.883	1.8809	1.9349	1.6691	1.6387	1.8285	1.9409	2.0979	2.2236	2.2663	2.1304	2.0533	2.09	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL11"	: 	: 	: 	0.7148	0.6558	0.6656	0.7518	0.6391	0.6238	0.5943	0.5414	0.6632	0.6833	0.6967	0.73	0.7168	0.7221	0.7168	0.7344	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL12"	: 	: 	: 	1.5924	1.6391	1.673	1.5169	1.5543	1.6085	1.3631	1.3479	1.4691	1.578	1.7055	1.8177	1.8508	1.7279	1.6532	1.6715	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL2"	1.7059	1.5718	1.1434	1.1291	1.0294	0.9844	0.9469	0.8822	0.859	0.7958	0.7847	0.8133	0.838	0.9309	1.0418	1.0937	1.0282	0.9261	0.9855	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL21"	2.3966	2.3106	1.6214	1.5917	1.4239	1.3757	1.3498	1.187	1.1569	1.0714	1.0224	1.0819	1.0333	1.2487	1.4175	1.4007	1.4035	1.082	1.1545	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL22"	1.1755	1.0133	0.7835	0.7954	0.7492	0.7141	0.6728	0.6756	0.6504	0.6033	0.6123	0.6191	0.6872	0.6934	0.7687	0.849	0.7292	0.7858	0.8131	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL3"	: 	: 	: 	0.7027	0.7375	0.6889	0.6398	0.6137	0.59	0.4864	0.4918	0.484	0.5252	0.5327	0.5356	0.5177	0.4894	0.5239	0.4832	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL31"	: 	: 	: 	0.7558	0.781	0.7706	0.8001	0.7097	0.7242	0.6985	0.7123	0.7114	0.7896	0.76	0.7838	0.7384	0.7026	0.7305	0.6889	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL32"	: 	: 	: 	0.9955	1.126	0.9173	0.8695	0.8035	0.7238	0.4	0.385	0.3778	0.4011	0.4184	0.4141	0.4276	0.3768	0.4491	0.3762	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL33"	: 	: 	: 	0.2924	0.269	0.2801	0.1351	0.259	0.2475	0.2487	0.2652	0.2342	0.2294	0.2656	0.2336	0.2651	0.2582	0.271	0.2256	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL34"	: 	: 	: 	0.6061	0.58	0.6128	0.5463	0.5373	0.5148	0.5009	0.5118	0.5085	0.5644	0.5553	0.569	0.5129	0.4919	0.4861	0.521	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL4"	1.0783	0.963	0.7464	0.8667	0.8229	0.7676	0.7719	0.7858	0.7544	0.7332	0.7496	0.7694	0.7655	0.7479	0.7656	0.7418	0.7733	0.753	0.7066	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL41"	1.3325	1.1301	0.9452	1.1271	1.0637	0.9753	0.964	1.007	1.0004	0.9945	0.9778	0.967	0.9725	0.9206	0.9298	0.891	0.9466	0.9084	0.8116	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL42"	0.8532	0.8298	0.5779	0.6882	0.6535	0.6226	0.6608	0.6367	: c	0.5006	0.59	0.7094	0.661	0.6457	0.6575	0.6157	0.6374	0.6502	0.6429	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL43"	0.4914	0.5526	0.2886	0.2842	0.2697	0.2718	0.2756	0.2621	: c	0.2421	0.255	0.2513	0.2552	0.336	0.3517	0.3622	0.3644	0.3723	0.3899	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL5"	1.4159	1.2817	0.912	0.9256	0.9221	0.92	0.8245	0.7496	0.6795	0.6597	0.6503	0.6731	0.726	0.7864	0.8927	0.9089	0.8353	0.8415	0.8055	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,PL51"	1.6695	1.4919	1.0535	1.0831	1.0705	1.0585	0.936	0.8486	0.7631	0.753	0.742	0.7523	0.8163	0.9107	1.0253	1.0503	0.9827	1.0236	0.9776	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
