indic_env,wst_oper,geo\time	2018 	2016 	2014 	2012 	2010 	2008 	2006 	2004 
CAP,DSP_I,HR04	0 	0 	1010 	: 	: 	: 	: 	: 
CAP,DSP_I,HU	120847 	108644 	103288 	150565 	145205 	104414 	104414 	55499 
CAP,DSP_I,HU1	3260 	3260 	3040 	4041 	4041 	0 	0 	: 
CAP,DSP_I,HU10	: 	: 	: 	: 	: 	0 	0 	: 
CAP,DSP_I,HU11	3260 	3260 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,HU12	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,HU2	65580 	56860 	51395 	65784 	65784 	60036 	60036 	39866 
CAP,DSP_I,HU21	62380 	47380 	43000 	56304 	56304 	52036 	52036 	30386 
CAP,DSP_I,HU22	3200 	9480 	8040 	9480 	9480 	8000 	8000 	9480 
CAP,DSP_I,HU23	0 	0 	355 	0 	0 	0 	0 	: 
CAP,DSP_I,HU3	52007 	48524 	48853 	80740 	75380 	44378 	44378 	15633 
CAP,DSP_I,HU31	45257 	48524 	42657 	64420 	64420 	36490 	36490 	8700 
CAP,DSP_I,HU32	6750 	0 	6196 	15600 	10240 	7168 	7168 	6804 
CAP,DSP_I,HU33	0 	0 	0 	720 	720 	720 	720 	129 
CAP,DSP_I,IE	10950 	: 	: 	: 	: 	0 	: 	: 
CAP,DSP_I,IE0	10950 	: 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,IE04	0 	: 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,IE05	10950 	: 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,IE06	0 	: 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,IS	: 	: 	: 	: 	: 	0 	: 	17000 
CAP,DSP_I,IT	10012483 	6486875 	7421334 	7316754 	: 	0 	0 	: 
CAP,DSP_I,ITC	3859649 	4395490 	3525194 	2715695 	: 	0 	0 	: 
CAP,DSP_I,ITC1	596800 	28485 	494125 	557500 	: 	: 	: 	: 
CAP,DSP_I,ITC2	0 	0 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,ITC3	0 	0 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,ITC4	3262849 	4367005 	3031069 	2158195 	: 	: 	: 	: 
CAP,DSP_I,ITD	: 	: 	: 	: 	: 	0 	0 	: 
CAP,DSP_I,ITE	: 	: 	: 	: 	: 	0 	0 	: 
CAP,DSP_I,ITF	3196631 	1169071 	970000 	934192 	: 	0 	0 	: 
CAP,DSP_I,ITF1	1489848 	24630 	: 	7056 	: 	: 	: 	: 
CAP,DSP_I,ITF2	223298 	10599 	85000 	482 	: 	: 	: 	: 
CAP,DSP_I,ITF3	887200 	841200 	600000 	625152 	: 	: 	: 	: 
CAP,DSP_I,ITF4	134029 	107642 	100000 	88002 	: 	: 	: 	: 
CAP,DSP_I,ITF5	65000 	65000 	65000 	65000 	: 	: 	: 	: 
CAP,DSP_I,ITF6	397256 	120000 	120000 	148500 	: 	: 	: 	: 
CAP,DSP_I,ITG	182233 	113220 	248500 	439502 	: 	0 	0 	: 
CAP,DSP_I,ITG1	50160 	45840 	: 	107300 	: 	: 	: 	: 
CAP,DSP_I,ITG2	132073 	67380 	248500 	332202 	: 	: 	: 	: 
CAP,DSP_I,ITH	2029046 	598130 	1846860 	2661840 	: 	: 	: 	: 
CAP,DSP_I,ITH1	130000 	0 	220000 	110000 	: 	: 	: 	: 
CAP,DSP_I,ITH2	2000 	2000 	: 	0 	: 	: 	: 	: 
CAP,DSP_I,ITH3	392896 	261530 	265360 	586440 	: 	: 	: 	: 
CAP,DSP_I,ITH4	217000 	239600 	197000 	218900 	: 	: 	: 	: 
CAP,DSP_I,ITH5	1287150 	95000 	1164500 	1746500 	: 	: 	: 	: 
CAP,DSP_I,ITI	744924 	210964 	830780 	565525 	: 	: 	: 	: 
CAP,DSP_I,ITI1	347724 	210964 	287550 	319125 	: 	: 	: 	: 
CAP,DSP_I,ITI2	0 	0 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,ITI3	0 	0 	0 	14400 	: 	: 	: 	: 
CAP,DSP_I,ITI4	397200 	0 	543230 	232000 	: 	: 	: 	: 
CAP,DSP_I,LT	8000 	8000 	8000 	18000 	2000 	1012 	22136 	: 
CAP,DSP_I,LT0	8000 	8000 	8000 	18000 	2000 	: 	: 	: 
CAP,DSP_I,LT01	0 	0 	0 	: 	: 	: 	: 	: 
